id,epic,title,priority,status,source
V1-ST-001,EPIC-01 Foundation & Canonical,Canonical docs,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-002,EPIC-01 Foundation & Canonical,Feature flags,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-003,EPIC-01 Foundation & Canonical,Auth/tenant active,P1,implemented-runtime-partial-browser-e2e-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-004,EPIC-01 Foundation & Canonical,Cross-tenant RLS,P1,implemented-runtime-verified,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-005,EPIC-01 Foundation & Canonical,Consent purposes,P1,implemented-legal-ux-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-006,EPIC-02 Business Passport,Business facts/provenance,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-007,EPIC-02 Business Passport,Timeline,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-008,EPIC-02 Business Passport,Passport UI,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-009,EPIC-02 Business Passport,Progressive profiling,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-010,EPIC-03 Diagnostic,Question bank/versioning,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-011,EPIC-03 Diagnostic,Applicability/branching,P1,partial-methodology-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-012,EPIC-03 Diagnostic,Session/autosave/resume,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-013,EPIC-03 Diagnostic,Rules Engine,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-014,EPIC-03 Diagnostic,Result/pain/evidence,P1,implemented-foundation,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-015,EPIC-04 Decision/GDS,Pain Finding,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-016,EPIC-04 Decision/GDS,Cause hypotheses,P1,implemented-schema,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-017,EPIC-04 Decision/GDS,Decision Record/GDS,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-018,EPIC-05 Mission,Mission Library,P1,partial-library,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-019,EPIC-05 Mission,State machine,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-020,EPIC-05 Mission,Evidence,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-021,EPIC-05 Mission,Outcomes,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-022,EPIC-05 Mission,Gamification,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-023,EPIC-06 Qualification,Pain->capability taxonomy,P1,pending-methodology,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-024,EPIC-06 Qualification,Provider capabilities,P1,implemented-schema,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-025,EPIC-06 Qualification,Qualification/recertification,P1,pending-methodology,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-026,EPIC-06 Qualification,Entitlements,P1,implemented-policy-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-027,EPIC-06 Qualification,Eligibility,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-028,EPIC-06 Qualification,Neutral ranking,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-029,EPIC-06 Qualification,Qualified solution UI,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-030,EPIC-06 Qualification,Consented contact/attribution,P1,partial-contact-implemented-attribution-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-031,EPIC-07 Agentic,Runtime spike,P1,spike-scaffolded-not-run,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-032,EPIC-07 Agentic,Context assembly,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-033,EPIC-07 Agentic,Council routing,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-034,EPIC-07 Agentic,Tool contracts,P1,partial-read-tools,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-035,EPIC-07 Agentic,Budgets/fallback/kill switch,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-036,EPIC-07 Agentic,Golden set/evals,P1,seeded-not-run,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-037,EPIC-08 Ecosystem,Ecosystem membership,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-038,EPIC-08 Ecosystem,Institutional branding,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-039,EPIC-08 Ecosystem,Aggregated dashboard,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-040,EPIC-09 Trust/Data/Admin,Admin/rules/qualification,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-041,EPIC-09 Trust/Data/Admin,Audit/correlation,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-042,EPIC-09 Trust/Data/Admin,LGPD lifecycle,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-043,EPIC-09 Trust/Data/Admin,Data quality/provenance,P1,implemented-foundation,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-044,EPIC-09 Trust/Data/Admin,Benchmark guardrails,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-045,EPIC-10 Production,Observability,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-046,EPIC-10 Production,Backup/restore/rollback,P1,pending-blocker,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-047,EPIC-10 Production,Security/supply-chain,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-048,EPIC-10 Production,CI/CD/environments,P1,baseline-existing,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-049,EPIC-10 Production,Performance/a11y,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-050,EPIC-10 Production,FinOps,P1,docs-only,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-051,EPIC-10 Production,E2E,P1,partial-db-e2e-browser-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-052,EPIC-10 Production,Production Readiness Review,P1,pending-blocker,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-053,EPIC-11 UX Light / Taste,Light theme migration,P0,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-054,EPIC-11 UX Light / Taste,Topbar + Context Sidebar,P0,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-055,EPIC-11 UX Light / Taste,Manager Dashboard,P0,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-056,EPIC-11 UX Light / Taste,Product empty/error/loading states,P0,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-057,EPIC-11 UX Light / Taste,Accessibility visual gate,P0,runtime-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-058,EPIC-11 UX Light / Taste,Motion system,P1,partial,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-059,EPIC-11 UX Light / Taste,Visual regression,P1,pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-060,EPIC-12 Product Flow Completion,GDS -> Mission creation,P0,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-061,EPIC-12 Product Flow Completion,Mission -> Capability recommendation,P0,implemented-taxonomy-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-062,EPIC-12 Product Flow Completion,Qualified provider search API,P0,implemented-fail-closed,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-063,EPIC-12 Product Flow Completion,Contact consent workflow,P0,implemented-legal-copy-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-064,EPIC-12 Product Flow Completion,Outcome closes Passport/Timeline loop,P0,implemented-timeline-passport-explicit-only,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-065,EPIC-13 — Foundation Acceleration / Selective OSS,Private RLS helper + explicit grants,P0,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-066,EPIC-13 — Foundation Acceleration / Selective OSS,Cross-tenant pgTAP harness,P0,implemented-runtime-verified,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-067,EPIC-13 — Foundation Acceleration / Selective OSS,Evidence Ledger,P0,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-068,EPIC-13 — Foundation Acceleration / Selective OSS,Durable event outbox,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-069,EPIC-13 — Foundation Acceleration / Selective OSS,Trusted server write boundary,P0,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-070,EPIC-13 — Foundation Acceleration / Selective OSS,Pydantic AI Slim spike,P1,spike-scaffolded-not-run,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-071,EPIC-13 — Foundation Acceleration / Selective OSS,Curated DevSecOps skill gates,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-072,EPIC-13 — Foundation Acceleration / Selective OSS,Provider Network Policy:** IMPLEMENTED; threshold permanece PEND-003.,P1,implemented-threshold-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-073,EPIC-13 — Foundation Acceleration / Selective OSS,Subscription/Plan Gate:** IMPLEMENTED; provider plans permanecem PEND-004.,P1,implemented-plan-decision-pending,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-074,EPIC-13 — Foundation Acceleration / Selective OSS,Cross-Tenant Sanitized Matching:** IMPLEMENTED.,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
V1-ST-075,EPIC-13 — Foundation Acceleration / Selective OSS,Outbox Completion/Retry:** IMPLEMENTED.,P1,implemented,docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md
