title,body,labels,milestone
V1-ST-001 Canonical docs,"Story: V1-ST-001
Epic: EPIC-01 Foundation & Canonical
Status baseline: implemented

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
V1-ST-002 Feature flags,"Story: V1-ST-002
Epic: EPIC-01 Foundation & Canonical
Status baseline: implemented

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
V1-ST-003 Auth/tenant active,"Story: V1-ST-003
Epic: EPIC-01 Foundation & Canonical
Status baseline: implemented-runtime-pending

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.
- [ ] Teste negativo A→B comprova negação de acesso.
- [ ] Least privilege e server boundary permanecem explícitos.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,runtime",V1 Baseline
V1-ST-004 Cross-tenant RLS,"Story: V1-ST-004
Epic: EPIC-01 Foundation & Canonical
Status baseline: implemented-runtime-pending-blocker

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.
- [ ] Teste negativo A→B comprova negação de acesso.
- [ ] Least privilege e server boundary permanecem explícitos.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,runtime",V1 Baseline
V1-ST-005 Consent purposes,"Story: V1-ST-005
Epic: EPIC-01 Foundation & Canonical
Status baseline: implemented-legal-ux-pending

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
V1-ST-006 Business facts/provenance,"Story: V1-ST-006
Epic: EPIC-02 Business Passport
Status baseline: implemented

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
V1-ST-007 Timeline,"Story: V1-ST-007
Epic: EPIC-02 Business Passport
Status baseline: implemented

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
V1-ST-008 Passport UI,"Story: V1-ST-008
Epic: EPIC-02 Business Passport
Status baseline: implemented

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
V1-ST-009 Progressive profiling,"Story: V1-ST-009
Epic: EPIC-02 Business Passport
Status baseline: partial

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
V1-ST-010 Question bank/versioning,"Story: V1-ST-010
Epic: EPIC-03 Diagnostic
Status baseline: implemented

Acceptance criteria:
- [ ] Contrato/decisão canônica permanece consistente.
- [ ] Testes proporcionais ao risco são definidos e executados quando o ambiente permitir.
- [ ] Nenhum dado fake é introduzido em superfície de produção.
- [ ] Documentação/traceabilidade são atualizadas.

Source: docs/canonical/v1/delivery/MASTER_BACKLOG_V1.md","story,p1,product",V1 Baseline
