id,title,status,source,summary
ACT-001,Empresário PME,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Busca clareza, prioridade, orientação prática, evolução e acesso a soluções adequadas."
ACT-002,Empresa prestadora,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Pode ser simultaneamente usuária do Genesis e fornecedora de capacidades qualificadas.
ACT-003,Ecossistema,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"AECG, BNI, NTW, associações, grupos e redes empresariais que distribuem o Genesis e recebem inteligência agregada autorizada."
ACT-004,Operação Genesis,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Administra produto, regras, qualificações, planos, conteúdo, incidentes, auditoria e qualidade."
ACT-005,Especialista externo,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Executa serviço humano contratado separadamente. Não faz parte da assinatura SaaS. ------------------------------------------------------------------------
DEC-001,Nenhum plano inclui acompanhamento humano,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Free, Start e Pro são produtos digitais. Consultoria, implantação, BPO, tecnologia, jurídico, tributário, mentoria, reunião executiva ou qualquer intervenção humana são serviços separados. **Regra:** upgrade compra mais inteligência, automação, contexto e capacidade analítica; nunca horas humanas embutidas."
DEC-002,Execução é separada da inteligência,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"O Genesis identifica necessidade, orienta, estrutura missão e pode apresentar empresas qualificadas. A execução profissional ocorre fora do SaaS e pode ser prestada por PGTI, BPO Finance ou terceiros elegíveis."
DEC-003,Neutralidade do diagnóstico,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"O diagnóstico não pode favorecer PGTI, BPO Finance, patrocinador, parceiro ou empresa do grupo. Interesse comercial nunca altera dor, score, causa ou solução necessária."
DEC-004,"Plano habilita elegibilidade, não compra ranking",canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Uma empresa precisa estar em plano elegível para aparecer na área de soluções qualificadas. O plano não deve ser o principal fator de ordenação.
DEC-005,V1 é production-ready,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"A V1 será validada com usuários reais e deverá atender gates de segurança, privacidade, multi-tenancy, observabilidade, backup/restore, testes, CI/CD, rollback, custos e operação."
DEC-006,"Dados antes de ""Big Data""",canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Nenhuma inferência agregada será tratada como verdade sem qualidade, proveniência, volume e metodologia suficientes. ------------------------------------------------------------------------"
GATE-V1-01,Produto,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Fluxo real: onboarding → diagnóstico → score → dor → GDS → missão → solução necessária → empresa elegível → outcome.
GATE-V1-02,Dados,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Passport/Timeline persistentes, versionados, com proveniência e regras de acesso."
GATE-V1-03,Tenant,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Testes cross-tenant negativos aprovados.
GATE-V1-04,Segurança,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Sem P0/P1 crítico aberto; auth, RLS, secrets, dependency/license scan e threat model aprovados."
GATE-V1-05,IA,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Golden set + evals adversariais; tool authorization; budgets; kill switch; fallback.
GATE-V1-06,Operação,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Observabilidade, backup/restore testado, rollback, runbooks e owners."
GATE-V1-07,Legal/privacidade,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Termos, política, consentimentos/finalidades, DPA quando aplicável e fluxos de titular aprovados."
GATE-V1-08,FinOps,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Custo/run, custo/empresa, budgets e alertas definidos."
GATE-V1-09,Evidência,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,CI verde + smoke/E2E dos fluxos críticos + evidência de deploy. ------------------------------------------------------------------------
NSM-001,North Star,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,**Empresas que completaram um ciclo de valor no período:** diagnóstico atualizado + prioridade/decisão registrada + missão concluída + outcome registrado.
OBJ-001,Clareza,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Permitir que uma PME compreenda sua maturidade, principais dores, causas prováveis e prioridades."
OBJ-002,Execução,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Converter recomendações em missões estruturadas, mensuráveis e acompanháveis."
OBJ-003,Inteligência contínua,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Manter memória empresarial temporal para que recomendações evoluam com a empresa.
OBJ-004,Rede qualificada,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Conectar necessidades detectadas a empresas elegíveis e qualificadas para entregar a categoria de solução necessária.
OBJ-005,Big Data empresarial,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Construir, com governança, consentimento, proveniência e qualidade, uma base longitudinal que relacione perfil, problema, decisão, ação, solução, fornecedor e resultado."
OBJ-006,Escala,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Operar os planos sem acompanhamento humano incluído, preservando margem e capacidade de atender milhares de PMEs. ------------------------------------------------------------------------"
RF-AI-001,,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Orquestrador seleciona especialistas conforme domínio e risco.
RF-AI-002,,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Context assembly usa apenas dados autorizados e necessários.
RF-AI-003,,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Toda tool possui schema, allowlist, autorização, timeout e audit trail."
RF-AI-004,,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Ações de escrita relevantes exigem validação determinística e, quando irreversíveis, confirmação explícita do usuário."
RF-AI-005,,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,"Budget por plano e por run: tokens, custo, tempo e tool calls."
RF-AI-006,,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Golden set e evals normal/edge/adversarial bloqueiam regressões críticas.
RF-AI-007,,canonical,docs/canonical/v1/product/PRD_GENESIS_360_V1_CANONICO.md,Fallback para resposta determinística/abstenção quando confiança ou dados forem insuficientes.
